Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Leucine-rich PPR motif-containing protein, mitochondrial	Lrpprc	Q6PB66;F6V2A3	0.636123913	0.879887102
Glutathione S-transferase A1;Glutathione S-transferase;Glutathione S-transferase A2	Gsta1;Gm3776;Gsta2;Gm10639	P13745;Q6P8Q0;P10648;Q6P8Q1;D3YZV3;D3Z6A6;E9Q6L7	0.637513658	0.879955095
Thioredoxin	Txn	P10639	0.637754016	0.879955095
Stress-70 protein, mitochondrial	Hspa9	Q7TSZ0;P38647	0.63696712	0.879955095
Translocation protein SEC63 homolog	Sec63	Q8VHE0;F7A8K1	0.637405232	0.879955095
m7GpppX diphosphatase	Dcps	Q9DAR7;Q3TBW9;D6RFQ0	0.637735347	0.879955095
RUN and FYVE domain-containing protein 1	Rufy1	Q8BIJ7	0.638155512	0.88007274
Serine/threonine-protein phosphatase 4 regulatory subunit 1	Ppp4r1	E9QPR5;Q8K2V1;E9PX53;Q8K2V1-2;E0CXK8;F6TLH3;E0CYV2;F6V294;E0CX37	0.542739954	0.88007448
PH and SEC7 domain-containing protein 3	Psd3	F6Z9E6;Q2PFD7;Q2PFD7-2;F6Y9N3;Q2PFD7-5;F6PZZ8;Q2PFD7-4;Q2PFD7-3;E9PUC5	0.544140628	0.88007448
Glucosamine-6-phosphate isomerase 1	Gnpda1	O88958	0.544020268	0.88007448
60S ribosomal protein L13	Rpl13;Rpl13-ps3;Gm10071	P47963;D3YX54;E9PZ94	0.541702428	0.88007448
D-tyrosyl-tRNA(Tyr) deacylase 1	Dtd1	Q9DD18;Q9DD18-2	0.543562642	0.88007448
	Sbno1	B2RRI2;E9PW13;Q7TNB8;Q7TNB8-2;Q7TNB8-3;E9Q429	0.547227047	0.88013384
Rho GTPase-activating protein 31	Arhgap31	A6X8Z5	0.547361596	0.88013384
Coiled-coil domain-containing protein 115	Ccdc115	Q8VE99	0.549993131	0.880197176
	Asb7	C0H5Y0	0.550090472	0.880197176
CCR4-NOT transcription complex subunit 10	Cnot10	Q8BH15;Q8BH15-2;Q8BH15-3;Q8BH15-4;Q8BH15-5	0.551426746	0.880197176
Glyceraldehyde-3-phosphate dehydrogenase	Gm5507	E9PYX4	0.651646889	0.880247267
StAR-related lipid transfer protein 13	Stard13	F8WIY7;Q923Q2	0.642838109	0.880247267
Enhancer of mRNA-decapping protein 4	Edc4	G5E896;Q3UJB9;Q3UJB9-2;D6RE33;F6ZJ27	0.651255664	0.880247267
Uncharacterized protein C7orf50 homolog	3110082I17Rik	G5E8F7;Q9CXL3	0.606831276	0.880247267
Serine/arginine-rich splicing factor 10	Srsf10	Q3UYX6;Q9R0U0;Q9R0U0-2;Q9R0U0-3;Q3TFP0;A3KG57	0.66071344	0.880247267
Pleckstrin homology domain-containing family A member 7	Plekha7	Q3UIL6-2;Q3UIL6;Q3UIL6-6;Q3UIL6-4;Q3UIL6-3;Q3UIL6-5	0.633665114	0.880247267
Regulator of chromosome condensation	Rcc1	Q6PFB2;Q8VE37;A2CER2	0.6621329	0.880247267
Acyl-coenzyme A synthetase ACSM2, mitochondrial	Acsm2	Q8K0L3-2;Q8K0L3-3;Q8K0L3;F6XLJ8;F6V4U2	0.62313283	0.880247267
Zinc finger and BTB domain-containing protein 20	Zbtb20	Q8K0L9;Q8K0L9-2;E0CYH3;E0CYJ9;E0CXT9	0.606852478	0.880247267
Rab GTPase-binding effector protein 2	Rabep2	Q91WG2;Q91WG2-1;Q91WG2-2	0.636033618	0.880247267
ATPase WRNIP1	Wrnip1	Q91XU0;Q91XU0-2	0.615508637	0.880247267
Hsp70-binding protein 1	Hspbp1	Q99P31	0.579022715	0.880247267
39S ribosomal protein L33, mitochondrial	Mrpl33	Q9CQP0;Q8R0E2	0.590496528	0.880247267
Carboxypeptidase B2	Cpb2	Q9JHH6	0.589097339	0.880247267
Golgin subfamily A member 5	Golga5	Q9QYE6	0.568883001	0.880247267
Dynamin-binding protein	Dnmbp	Q6TXD4;E9QPY4;Q6TXD4-2	0.554360018	0.880488021
Guanylate-binding protein 4	Gbp4	Q61107	0.553598418	0.880488021
Leucine--tRNA ligase, cytoplasmic	Lars	F8WH45;Q8BMJ2	0.639721808	0.880575049
Mannose-1-phosphate guanyltransferase alpha	Gmppa	Q922H4;D3Z0T7;D3Z5Z5;D3Z2T0;D3YVK2;D3Z2L8;D3Z3M0;D3Z3L0	0.639785393	0.880575049
Iron-sulfur cluster assembly 2 homolog, mitochondrial	Isca2	Q9DCB8	0.638936749	0.880575049
Acylglycerol kinase, mitochondrial	Agk	Q9ESW4;Q9ESW4-2	0.639185095	0.880575049
UPF0505 protein C16orf62 homolog	9030624J02Rik	E9Q2K5;Q8BWQ6;D3YW19;D3YW20;Q8BWQ6-3;Q8BWQ6-2;E9Q128;F6RR19	0.566968968	0.880683876
Rho GTPase-activating protein 24	Arhgap24	G3X9N1;Q8C4V1;Q8C4V1-3	0.564902426	0.880683876
Vesicle-associated membrane protein 7	Vamp7	P70280	0.558661022	0.880683876
Metalloproteinase inhibitor 3	Timp3	P39876	0.566006288	0.880683876
Uncharacterized protein C8orf42 homolog	2610019F03Rik	Q8C5P7;D3YVM3	0.556004485	0.880683876
RanBP-type and C3HC4-type zinc finger-containing protein 1	Rbck1	Q9WUB0;F6VII1	0.558786979	0.880683876
SNARE-associated protein Snapin	Snapin	Q9Z266;Q9Z266-2	0.556733764	0.880683876
RNA polymerase-associated protein CTR9 homolog	Ctr9	Q62018;Q62018-3;Q62018-2	0.563150138	0.880683876
	Zc3h7b	F8VPP8;E9Q1Z4	0.559710883	0.880683876
	Fga	E9PV24;Q99K47	0.641169319	0.881556559
	Macf1	E9QA63;E9PVY7;E9QNP1	0.641448808	0.881556559
Mitochondrial import inner membrane translocase subunit Tim17-B	Timm17b	Q9Z0V7;A2AES1	0.641007485	0.881556559
Ubiquitin-associated protein 2	Ubap2	Q91VX2;A2AMY5;F6PYV5;A2AMY7	0.642134622	0.882063501
Sentrin-specific protease 7	Senp7	Q8BUH8;E9Q1L5;D3Z5W1;Q9CQN9	0.570823762	0.882199662
Telomerase protein component 1	Tep1	P97499	0.571130354	0.882361138
	Ncam1	F8VQH8	0.575519528	0.88261721
Monocarboxylate transporter 10	Slc16a10	Q3U9N9;Q3U9N9-2;F7ALE6	0.573972426	0.88261721
3-phosphoinositide-dependent protein kinase 1	Pdpk1	Q9Z2A0;F2Z3X6;Q3TRL2;F2Z400;F2Z3Z9;F2Z4A5;F2Z3V6;F2Z3X9	0.57659074	0.882686742
Ubiquitin carboxyl-terminal hydrolase 5;Ubiquitin carboxyl-terminal hydrolase	Usp5	P56399;Q3U4W8;D3Z4K7;D3YYA5	0.644532338	0.88325645
COMM domain-containing protein 3	Commd3	Q63829	0.644589957	0.88325645
Ubiquitin-like modifier-activating enzyme ATG7	Atg7	Q9D906	0.64439786	0.88325645
Protein-glutamine gamma-glutamyltransferase K	Tgm1	Q9JLF6	0.643673789	0.88325645
Actin-related protein 2/3 complex subunit 1B	Arpc1b	Q9WV32;F6VVE6;F6THG2;D3Z6S0	0.643676201	0.88325645
Microtubule-associated protein RP/EB family member 1	Mapre1	Q61166	0.646564256	0.884121911
SEC14-like protein 4	Sec14l4	Q8R0F9	0.646771968	0.884121911
PC4 and SFRS1-interacting protein	Psip1	Q99JF8;Q99JF8-2;A2BI12;F6RB63	0.646057719	0.884121911
Gamma-glutamylcyclotransferase	Ggct	Q9D7X8	0.645901664	0.884121911
Sulfotransferase family cytosolic 1B member 1	Sult1b1	Q9QWG7-2;Q9QWG7	0.646809993	0.884121911
Lipase maturation factor 1	Lmf1	Q3U3R4;Q3U3R4-2;Q3U3R4-3;F6RND1;Q3U3R4-4;Q3UQQ2;D6RDS1;F6YC79	0.582614044	0.884128436
Developmentally-regulated GTP-binding protein 2	Drg2	Q9QXB9	0.647420947	0.88452258
Bcl-2-like protein 13	Bcl2l13	P59017	0.648718462	0.885345824
Serine/threonine-protein phosphatase 6 regulatory subunit 1	Ppp6r1	Q7TSI3	0.648977895	0.885345824
Selenide, water dikinase 1	Sephs1	Q8BH69	0.648620444	0.885345824
60S ribosomal protein L23	Rpl23	P62830;A2A6F8	0.652496711	0.885392604
Transcription intermediary factor 1-beta	Trim28	Q62318;Q62318-2	0.651961876	0.885392604
Carboxylesterase 1E	Ces1e	Q64176	0.652444027	0.885392604
NAD(P)H dehydrogenase [quinone] 1	Nqo1	Q64669	0.650401682	0.885392604
Nicotinate-nucleotide pyrophosphorylase [carboxylating]	Qprt	Q91X91	0.651714279	0.885392604
Myosin regulatory light polypeptide 9	Myl9	Q9CQ19	0.650419319	0.885392604
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	Ndufb4	Q9CQC7	0.6502617	0.885392604
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	Ndufb8	Q9D6J5;Q3V406;E9Q9J5;F6VCY0	0.650246787	0.885392604
Isoamyl acetate-hydrolyzing esterase 1 homolog	Iah1	Q9DB29	0.652511761	0.885392604
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Pin1	Q9QUR7	0.650705643	0.885392604
Proline synthase co-transcribed bacterial homolog protein	Prosc	Q9Z2Y8;Q80ZV3	0.651331203	0.885392604
Cohesin subunit SA-2	Stag2	A2AFF6;O35638;Q3UQG8	0.289769256	0.885545466
Agrin	Agrn	A2ASQ1;A2ASQ1-2;A2ASQ1-3;E9PUS6	0.404033377	0.885545466
	Tjp1	B9EHJ3	0.381658802	0.885545466
Ensconsin	Mtap7;Map7	D3YWN7;O88735-2;E9QMU3;O88735	0.408027807	0.885545466
Tetraspanin-4	Tspan4	Q9DCK3;D3Z0T3;D3Z0B7	0.459583088	0.885545466
Elongation of very long chain fatty acids protein 5	Elovl5	Q8BHI7;D3Z136;D3Z0Z6	0.187962401	0.885545466
Phosphatidate phosphatase LPIN2	Lpin2	E9PWN0;Q99PI5;Q99PI5-2;D6RH34	0.217620373	0.885545466
Unconventional myosin-IXb	Myo9b	E9QQ56;Q9QY06-2;E9PZW8;Q9QY06;E9PWZ6;E9QKV6;Q9QY06-3	0.412756935	0.885545466
Cytochrome c oxidase subunit 7A-related protein, mitochondrial	Cox7a2l	E9PZS8;Q61387	0.44264924	0.885545466
DnaJ homolog subfamily C member 28	Dnajc28	E9Q1L7;Q8VCE1;D3Z032	0.277791753	0.885545466
C2 domain-containing protein 2-like	C2cd2l	G5E8D9;Q80X80;E9Q6K0;E9PZE4	0.283385112	0.885545466
	Gpr116	G5E8Q8;E9Q6Z1	0.415542371	0.885545466
GPI transamidase component PIG-S	Pigs	Q6PD26;E9Q761	0.485490601	0.885545466
5-3 exoribonuclease 1	Xrn1	F8VQ87;P97789;P97789-2;P97789-3	0.554973522	0.885545466
Golgi apparatus protein 1	Glg1	Q61543;F8WHM5;E9PWD8;F6RSH1	0.231982098	0.885545466
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Pip5k1c	F8WHW6;O70161;O70161-3;O70161-2;E0CYP4;P70181;P70181-2;F7C0X9	0.504775436	0.885545466
Ubiquitin-conjugating enzyme E2 G2	Ube2g2	F8WJE2;P60605;G3UZX2	0.236549925	0.885545466
Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 16	Usp16	G5E860;Q99LG0;D3YVU1;D3Z6E6	0.557947809	0.885545466
GTP-binding protein 1	Gtpbp1	O08582	0.36582604	0.885545466
Transcription elongation factor A protein 3	Tcea3	P23881;A2AW45	0.563528933	0.885545466
Hepatocyte nuclear factor 3-alpha;Hepatocyte nuclear factor 3-gamma	Foxa1;Foxa3	P35582;P35584	0.330227454	0.885545466
Signal transducer and activator of transcription 5A	Stat5a	P42230;B2C3G8;A2A5D3;A2A5D4	0.343091903	0.885545466
Synaptotagmin-1;Synaptotagmin-2	Syt1;Syt2	P46096;P46097;D3Z7R4	0.454070018	0.885545466
AP-2 complex subunit sigma	Ap2s1	P62743;Q7TT10	0.334047655	0.885545466
Tax1-binding protein 1 homolog	Tax1bp1	Q3UKC1;D3Z213;D3Z715	0.305978307	0.885545466
Kinesin-like protein KIF1B	Kif1b	Q60575;Q60575-2	0.514810959	0.885545466
Amyloid-like protein 2	Aplp2	Q61482;Q60709;Q06335;Q06335-2;E9PVK2;E9PUY3	0.455442257	0.885545466
Villin-1	Vil1	Q62468;F6V2H5	0.561349538	0.885545466
Cyclin-dependent kinase 6	Cdk6	Q64261	0.371300371	0.885545466
E3 ubiquitin-protein ligase listerin	Ltn1	Q6A009;Q14B86	0.238633292	0.885545466
Diamine acetyltransferase 2	Sat2	Q6P8J2	0.546233277	0.885545466
Protein Hook homolog 1	Hook1	Q8BIL5;Q8BIL5-2;Q8BJ23	0.319606435	0.885545466
Probable threonine--tRNA ligase 2, cytoplasmic	Tarsl2	Q8BLY2	0.25190405	0.885545466
Translocation protein SEC62	Sec62	Q8BU14	0.494580126	0.885545466
Low density lipoprotein receptor adapter protein 1	Ldlrap1	Q8C142	0.509817727	0.885545466
G-protein coupled receptor family C group 5 member C	Gprc5c	Q8K3J9;B7FAT9	0.558257752	0.885545466
Activator of 90 kDa heat shock protein ATPase homolog 2	Ahsa2	Q8N9S3;Q8N9S3-3;F6S1R2;Q8N9S3-2;A2AF81;A2AF82	0.513805102	0.885545466
Vacuolar protein sorting-associated protein 37C	Vps37c	Q8R105	0.430347763	0.885545466
Complement component C8 gamma chain	C8g	Q8VCG4;Q9DAC2	0.310244564	0.885545466
Cyclin-dependent kinase 2-interacting protein	Cinp	Q8VDH2;Q9D0V8;Q9D0V8-3;Q9D0V8-2	0.420980425	0.885545466
DEP domain-containing protein 7	Depdc7	Q91WS7	0.279675002	0.885545466
Periodic tryptophan protein 1 homolog	Pwp1	Q99LL5;E9QAL6	0.408816174	0.885545466
MORF4 family-associated protein 1	Mrfap1	Q9CQL7	0.301584303	0.885545466
Elongator complex protein 4	Elp4	Q9ER73;A2A414	0.411897989	0.885545466
Integrin alpha-IIb;Integrin alpha-IIb heavy chain;Integrin alpha-IIb light chain	Itga2b	Q9QUM0	0.486480509	0.885545466
Cytosolic Fe-S cluster assembly factor NARFL	Narfl	Q7TMW6-2;Q7TMW6	0.589880004	0.885929121
Survival of motor neuron-related-splicing factor 30	Smndc1	Q8BGT7	0.589534641	0.885929121
GRAM domain-containing protein 3	Gramd3	E9QK68;Q6PEM6;Q9D2W5;Q3TTJ8	0.587722628	0.885929121
Microtubule-associated protein	Mtap4	F7CK47	0.589480399	0.885929121
Coatomer subunit alpha;Xenin;Proxenin	Copa	F8WHL2;Q8CIE6;F6ZWD0;E9PZ47;F6XJN3	0.65364062	0.886492127
Alpha-2-antiplasmin	Serpinf2	Q61247;Q5ND35;E9PXE0	0.654507735	0.886738111
15-hydroxyprostaglandin dehydrogenase [NAD(+)]	Hpgd	Q8VCC1	0.65490681	0.886738111
Protein phosphatase 1B	Ppm1b	Q99NF7;P36993-5;P36993-3;P36993;P36993-4;P36993-2	0.654174205	0.886738111
Alpha-aminoadipic semialdehyde dehydrogenase	Aldh7a1	Q9DBF1-2	0.655096499	0.886738111
Nucleoside diphosphate-linked moiety X motif 8, mitochondrial	Nudt8	Q9CR24;D3Z5H8	0.426837961	0.887153409
Rho GTPase-activating protein 1	Arhgap1	A2AH25;Q5FWK3;Q8C5A0	0.656830019	0.88778919
Polypyrimidine tract-binding protein 1	Ptbp1	Q922I7;Q8BGJ5;E9Q4L8;P17225;Q8CB58;E9QMW9;Q8C2R5;F7DCW4;F7AXP1;E9Q279;E9Q0W3	0.656207867	0.88778919
Adenylate kinase 2, mitochondrial	Ak2	Q9WTP6;Q9WTP6-2	0.656573734	0.88778919
Rho GTPase-activating protein 5	Arhgap5	E9PYT0;P97393	0.657310645	0.888007536
Glyceraldehyde-3-phosphate dehydrogenase	Gm5559	E9PX72	0.679268236	0.888602472
Keratin, type II cytoskeletal 1	Krt1	P04104	0.676751351	0.888602472
Protein argonaute-2	Eif2c2	Q8CJG0;Q8CJF9;F8WGV6;A3KFX6	0.598709351	0.888646212
Rhophilin-2	Rhpn2	Q8BWR8	0.606132218	0.888646212
Gap junction beta-2 protein	Gjb2	Q00977	0.605232841	0.888646212
Protein PRRC2B	Prrc2b	F7AYW2;F8WHT3;Q7TPM1;A2AN33;Q7TPM1-2;F6V431	0.602423611	0.888646212
AT-rich interactive domain-containing protein 5B	Arid5b	Q8BM75;Q8BM75-2;Q8BM75-3	0.658225154	0.88881155
Zinc fingers and homeoboxes protein 2	Zhx2	Q8C0C0	0.658943618	0.889350189
Formin-binding protein 1	Fnbp1	Q80TY0;A2AQ41;D3YYV4;A2AQ45;A2AQ42;A2AQ44;A2AQ43;Q80TY0-3;Q80TY0-2;F6VVN1;Q80TY0-5;A2AQ47;Q80TY0-4;A2AQ39	0.68878729	0.889455181
Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l	A2AWP8;A2AWP8-4;A2AWP8-2;A2AWP8-3;A2AWP6;A2AWP8-5;F6S3V7;A2AWP4	0.702932555	0.889455181
N-acetylgalactosamine kinase	Galk2	Q68FH4;Q8BUU7;Q3U728;B7ZCT3	0.693588648	0.889455181
Mitogen-activated protein kinase kinase kinase 7	Map3k7	Q923A8;Q62073;A2AP92;A2AP93	0.706240443	0.889455181
Transmembrane protein 120A	Tmem120a	Q8C1E7;D3Z0U3	0.686654747	0.889455181
Serine/threonine-protein kinase mTOR	Mtor	Q9JLN9;Q9JLN9-2	0.699567303	0.889455181
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13	Gng13	Q9JMF3	0.709853654	0.889455181
C-Myc-binding protein	Mycbp	Q8R048;A2A7K5;Q9EQS3	0.659719472	0.889684455
Prolyl endopeptidase	Prep	Q9QUR6;E9Q0H7	0.659830656	0.889684455
Group XV phospholipase A2	Pla2g15	Q8VEB4	0.660655984	0.889783161
Glycine N-acyltransferase	Glyat	Q91XE0	0.660937476	0.889783161
NADH dehydrogenase [ubiquinone] 1 subunit C2	Ndufc2	Q9CQ54	0.661100323	0.889783161
RNA-binding protein 8A	Rbm8a	Q9CWZ3;Q9CWZ3-2	0.661182744	0.889783161
Ras-related protein Rab-12	Rab12	A2CG35;P35283	0.610724136	0.889832999
	R3hdm1	E9Q9Q2;B9EHE8;Q3URW7	0.613938645	0.889832999
Phosphoinositide 3-kinase regulatory subunit 4	Pik3r4	Q8VD65	0.613546642	0.889832999
Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3	Cdh1	P09803	0.614840725	0.890245522
Probable rRNA-processing protein EBP2	Ebna1bp2	Q9D903;A2ACZ1	0.414450099	0.890672044
Magnesium transporter protein 1	Magt1	A2ADH1;F6WHL0;Q9CQY5;F6TBV1;Q9CQY5-3;Q9CQY5-2	0.693098328	0.890672044
Tetratricopeptide repeat protein 1	Ttc1	Q91Z38;A2AJK8	0.422894654	0.890672044
CLIP-associating protein 2	Clasp2	E9QB05;B9EJA4;Q08EB5;Q08EB6;E9Q8N5;Q8BRT1	0.644518204	0.890672044
	Mgst1	D3YVR3	0.646716954	0.890672044
Coiled-coil domain-containing protein 6	Ccdc6	D3YZP9;F6SXB0	0.736475721	0.890672044
Zinc finger Ran-binding domain-containing protein 2	Zranb2	D3Z4T9;D3Z4U0;Q9R020;E9PUD0;Q9R020-2	0.347420423	0.890672044
	Rsl1d1	Q3UL54;Q8BVY0;E9Q0A1	0.462019914	0.890672044
Solute carrier family 12 member 7	Slc12a7	Q9WVL3;Q9WVL3-2;E9Q0L1	0.566839677	0.890672044
Dematin	Epb49;Epb4.9	Q9WV69;Q9WVM2;E9Q1G7;Q8JZV5	0.458606167	0.890672044
Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit	Nfkb2	Q9WTK5;E9Q1H6	0.287313601	0.890672044
Uncharacterized protein C7orf43 homolog	BC037034	E9Q2V5;Q3UTZ3;E9Q6X8	0.688714361	0.890672044
Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial	Chchd6	Q3UNQ1;Q91VN4;E9Q4M4;Q3TJS8	0.36061128	0.890672044
	Srsf11	E9Q6E5;Q3UIX4;D3Z4B0;F7B0U9;D6RE22;F6TN80;Q8BV04;B7ZNC5;F6X2U6	0.56224568	0.890672044
Probable global transcription activator SNF2L2	Smarca2	F2Z4A9;Q6DIC0;E9QAB8;Q9D007	0.761380941	0.890672044
Fibronectin type-III domain-containing protein 3A	Fndc3a	Q8BX90;F6TLV3;E0CXY0	0.601784568	0.890672044
Gamma-interferon-inducible lysosomal thiol reductase	Ifi30	F6YSI1;G3X911;Q9ESY9	0.427358821	0.890672044
	Fryl	F8VQ05	0.249889555	0.890672044
	Ecm1	F8WI14;D3YV64;D3Z772	0.586388948	0.890672044
	Ccdc28a	Q8CEI3;Q3UFK1;G3UZ16;G3UX80;G3UXW3	0.706786419	0.890672044
Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	Pten	O08586	0.318123103	0.890672044
Sphingomyelin phosphodiesterase 2	Smpd2	O70572;D6RGM4	0.728581206	0.890672044
Sterol O-acyltransferase 2	Soat2	O88908;F6SMH4	0.702823844	0.890672044
CD82 antigen	Cd82	P40237;A2AIJ1;A2AIJ2	0.534795322	0.890672044
Ribose-5-phosphate isomerase	Rpia	P47968	0.474603349	0.890672044
Ubiquitin-conjugating enzyme E2 G1	Ube2g1	P62254;D6RES1	0.350417923	0.890672044
Nuclear factor 1 C-type;Nuclear factor 1	Nfic	P70255;P70255-3;P70255-5;P70255-4;F8WGJ0;P70255-6;P70255-7	0.614845828	0.890672044
Core-binding factor subunit beta	Cbfb	Q08024;Q08024-3;Q08024-4;Q08024-2	0.521243075	0.890672044
	Gtf3c3	Q3TMP1	0.430957638	0.890672044
Protein FAM210B	2010011I20Rik;Fam210b	Q3UFZ3;Q9D8B6	0.612176251	0.890672044
CapZ-interacting protein	Rcsd1	Q3UZA1;Q3UZA1-2	0.532038902	0.890672044
Cyclin-T1	Ccnt1	Q3V0G4;Q9QWV9;E9Q7A7	0.721019185	0.890672044
Serine/threonine-protein kinase TAO1	Taok1	Q5F2E8	0.611270524	0.890672044
Tankyrase-1	Tnks	Q6PFX9	0.604981292	0.890672044
F-box only protein 22	Fbxo22	Q78JE5;D6REV6;Q3V492;D3Z2G9;D6RFT2	0.380117434	0.890672044
FAST kinase domain-containing protein 5	Fastkd5;Ubox5	Q7TMV3;F2Z402	0.758162472	0.890672044
Integrator complex subunit 3	Ints3	Q7TPD0;Q7TPD0-2	0.622666923	0.890672044
ATP-binding cassette sub-family G member 8	Abcg8	Q9DBM0;Q7TSR6;Q9DBM0-2;E9Q0P2;E9PWU8	0.281438346	0.890672044
Rabenosyn-5	Zfyve20	Q80Y56	0.440955292	0.890672044
WD repeat-containing protein 82	Wdr82	Q8BFQ4	0.482869653	0.890672044
AN1-type zinc finger protein 1	Zfand1	Q8BFR6;F7CFT1;D3Z7G5	0.698822107	0.890672044
Mitochondrial folate transporter/carrier	Slc25a32	Q8BMG8	0.251935416	0.890672044
WD repeat and FYVE domain-containing protein 2	Wdfy2	Q8BUB4	0.581450527	0.890672044
N-alpha-acetyltransferase 25, NatB auxiliary subunit	Naa25	Q8BWZ3;Q8BWZ3-2;G3UZ51	0.29786978	0.890672044
GPI transamidase component PIG-T	Pigt	Q8BXQ2;B7ZC19	0.564411582	0.890672044
	Uvrag	Q8C0K8	0.495053663	0.890672044
Constitutive coactivator of PPAR-gamma-like protein 2	Fam120c	Q8C3F2;Q8C3F2-3;Q8C3F2-2	0.42119369	0.890672044
DIS3-like exonuclease 2	Dis3l2	Q8CI75-2;Q8CI75;E9Q8B9;E9Q379	0.74785673	0.890672044
Tudor domain-containing protein 7	Tdrd7	Q8K1H1;Q3TTK4	0.758468754	0.890672044
Diphosphoinositol polyphosphate phosphohydrolase 2;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 3-beta	Nudt4;Nudt10;Nudt11	Q8R2U6;P0C027;P0C028	0.563215762	0.890672044
Basic leucine zipper and W2 domain-containing protein 2	Bzw2	Q91VK1	0.54161976	0.890672044
UAP56-interacting factor	Fyttd1	Q91Z49;Q91Z49-2	0.707600577	0.890672044
39S ribosomal protein L42, mitochondrial	Mrpl42	Q9CPV3	0.525323322	0.890672044
L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aasdhppt	Q9CQF6;Q9CQF6-2	0.618099462	0.890672044
U2 small nuclear ribonucleoprotein B	Snrpb2	Q9CQI7;A2CES4	0.60791874	0.890672044
RNA-binding protein 7	Rbm7	Q9CQT2;Q3U5M9	0.502363312	0.890672044
ATP synthase subunit s, mitochondrial	Atp5s	Q9CRA7	0.483329374	0.890672044
	Pabpc6	Q9D4E6	0.239018168	0.890672044
Eukaryotic translation initiation factor 4E type 3	Eif4e3	Q9DBB5	0.695287931	0.890672044
A-kinase anchor protein 8	Akap8	Q9DBR0	0.296198651	0.890672044
Na(+)/H(+) exchange regulatory cofactor NHE-RF2	Slc9a3r2	Q9JHL1;Q9JHL1-2	0.597845676	0.890672044
Bridging integrator 3	Bin3	Q9JI08	0.655579147	0.890672044
E3 ubiquitin-protein ligase RNF14	Rnf14	Q9JI90;G3XA54;Q9JI90-2	0.707848653	0.890672044
LIM domain-containing protein 1	Limd1	Q9QXD8	0.349157931	0.890672044
Large neutral amino acids transporter small subunit 2	Slc7a8	Q9QXW9	0.74616631	0.890672044
Peptidyl-prolyl cis-trans isomerase E	Ppie	Q9QZH3	0.386977703	0.890672044
Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain	Hgfac	Q9R098	0.361823416	0.890672044
V-type proton ATPase subunit C 1	Atp6v1c1	Q9Z1G3	0.687191366	0.890672044
Cytokine receptor-like factor 3	Crlf3	Q9Z2L7;Q9Z2L7-2	0.462641107	0.890672044
85 kDa calcium-independent phospholipase A2	Pla2g6	P97819-2;P97819;G3UY97;G3UX52;G3UX73	0.618735131	0.89068895
Multidrug resistance protein 1A	Abcb1a	P21447	0.618781228	0.89068895
Phosphopantothenate--cysteine ligase	Ppcs	Q8VDG5;Q8VDG5-2	0.662383886	0.890968755
SPARC-related modular calcium-binding protein 1	Smoc1	Q8BLY1;E9QKW2;Q8BLY1-2;D3Z3A3	0.734065419	0.891536013
DNA-directed RNA polymerases I and III subunit RPAC1	Polr1c	F6ZXK9;P52432;D3Z3D6;D3Z7Q8;G3UXX5	0.737231703	0.891536013
Proline-rich protein 18	Prr18	Q6PAN7	0.733474121	0.891536013
CAAX prenyl protease 1 homolog	Zmpste24	Q80W54	0.73484037	0.891536013
Iron-sulfur cluster assembly 1 homolog, mitochondrial	Isca1	Q9D924	0.727541094	0.891536013
Arginyl-tRNA--protein transferase 1	Ate1	Q9Z2A5-2;Q9Z2A5;Q4FCQ7	0.734141227	0.891536013
Oxysterol-binding protein 2;Oxysterol-binding protein	Osbp2	Q5QNQ6;Q6PE09;Q5QNQ4;Q8K0C7	0.620477921	0.892003533
	Calu	Q6XLQ8;G3UYI3	0.490262997	0.892278655
PX domain-containing protein kinase-like protein	Pxk	Q8BX57;Q8BX57-2;Q8BX57-3	0.487076748	0.892278655
Sodium/bile acid cotransporter	Slc10a1	O08705	0.435008841	0.892469751
Deoxyguanosine kinase, mitochondrial	Dguok	Q8CBU2;Q9QX60;Q9QX60-2;Q504N4	0.433022958	0.892469751
Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	A2AJ15;A2AJ14	0.499429643	0.893148207
